Endpoint	Sex	-/Total	Ancestry	Biobank	Case	Control
AAA	Bothsex	-	eas	BBJ	1155	173601
AAA	Bothsex	-	afr	BioMe	58	6731
AAA	Bothsex	-	nfe	BioMe	328	9046
AAA	Bothsex	-	amr	BioMe	77	9335
AAA	Bothsex	-	nfe	BioVU	712	58099
AAA	Bothsex	-	nfe	CCPM	127	22007
AAA	Bothsex	-	nfe	DECODE	1470	306468
AAA	Bothsex	-	nfe	ESTBB	199	126324
AAA	Bothsex	-	fin	FinnGen	1185	203156
AAA	Bothsex	-	nfe	HUNT	1065	62866
AAA	Bothsex	-	nfe	MGB	717	16585
AAA	Bothsex	-	nfe	MGI	1054	43639
AAA	Bothsex	-	nfe	UKBB	1306	408565
AAA	Bothsex	Total	5	11	9453	1446422
AcApp	Bothsex	-	nfe	BioVU	355	69114
AcApp	Bothsex	-	eas	CKB	801	75085
AcApp	Bothsex	-	nfe	ESTBB	9146	128640
AcApp	Bothsex	-	fin	FinnGen	15627	201886
AcApp	Bothsex	-	sas	GNH	191	22170
AcApp	Bothsex	-	nfe	GS	481	19551
AcApp	Bothsex	-	nfe	HUNT	1559	67520
AcApp	Bothsex	-	nfe	MGB	717	24616
AcApp	Bothsex	-	nfe	MGI	339	50986
AcApp	Bothsex	-	nfe	UKBB	3490	416195
AcApp	Bothsex	Total	4	10	32706	1075763
Appendectomy	Bothsex	-	nfe	ESTBB	3666	134614
Appendectomy	Bothsex	-	fin	FinnGen	8195	210597
Appendectomy	Bothsex	-	nfe	UKBB	2585	417957
Appendectomy	Bothsex	Total	2	3	14446	763168
Asthma	Bothsex	-	eas	BBJ	13015	162933
Asthma	Bothsex	-	afr	BioMe	1636	5642
Asthma	Bothsex	-	nfe	BioMe	1294	8198
Asthma	Bothsex	-	amr	BioMe	2810	7752
Asthma	Bothsex	-	afr	BioVU	1448	12032
Asthma	Bothsex	-	nfe	BioVU	4270	55358
Asthma	Bothsex	-	afr	CCPM	307	911
Asthma	Bothsex	-	amr	CCPM	435	1839
Asthma	Bothsex	-	nfe	CCPM	3811	18365
Asthma	Bothsex	-	eas	CKB	1897	66068
Asthma	Bothsex	-	nfe	DECODE	16767	351253
Asthma	Bothsex	-	nfe	ESTBB	14312	115610
Asthma	Bothsex	-	fin	FinnGen	20629	135449
Asthma	Bothsex	-	sas	GNH	3050	18898
Asthma	Bothsex	-	nfe	GS	2437	17595
Asthma	Bothsex	-	nfe	HUNT	3894	61332
Asthma	Bothsex	-	nfe	Lifelines	2921	29625
Asthma	Bothsex	-	nfe	MGB	5419	16891
Asthma	Bothsex	-	afr	MGI	795	2086
Asthma	Bothsex	-	nfe	MGI	8999	37287
Asthma	Bothsex	-	nfe	QSKIN	2967	13922
Asthma	Bothsex	-	eas	TWB	3180	89122
Asthma	Bothsex	-	afr	UCLA	289	937
Asthma	Bothsex	-	amr	UCLA	760	3615
Asthma	Bothsex	-	eas	UCLA	308	1992
Asthma	Bothsex	-	nfe	UCLA	3051	13590
Asthma	Bothsex	-	sas	UCLA	62	307
Asthma	Bothsex	-	afr	UKBB	576	5999
Asthma	Bothsex	-	amr	UKBB	64	898
Asthma	Bothsex	-	sas	UKBB	903	7886
Asthma	Bothsex	-	eas	UKBB	149	2540
Asthma	Bothsex	-	nfe	UKBB	31169	379656
Asthma	Bothsex	-	ami	UKBB	139	1434
Asthma	Bothsex	Total	7	18	153763	1647022
COPD	Bothsex	-	eas	BBJ	4017	162653
COPD	Bothsex	-	afr	BioMe	735	5637
COPD	Bothsex	-	nfe	BioMe	611	8193
COPD	Bothsex	-	amr	BioMe	1030	7753
COPD	Bothsex	-	afr	BioVU	556	12032
COPD	Bothsex	-	nfe	BioVU	4962	55358
COPD	Bothsex	-	afr	CCPM	102	911
COPD	Bothsex	-	amr	CCPM	89	1839
COPD	Bothsex	-	nfe	CCPM	1533	18365
COPD	Bothsex	-	eas	CKB	13713	54748
COPD	Bothsex	-	nfe	ESTBB	10596	115610
COPD	Bothsex	-	fin	FinnGen	6915	186723
COPD	Bothsex	-	sas	GNH	484	21464
COPD	Bothsex	-	nfe	GS	239	19793
COPD	Bothsex	-	nfe	HUNT	5529	61332
COPD	Bothsex	-	nfe	Lifelines	3103	22372
