DATE.ADDED.TO.CATALOG	PUBMEDID	FIRST.AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE.TRAIT	INITIAL.SAMPLE.SIZE	REPLICATION.SAMPLE.SIZE	PLATFORM..SNPS.PASSING.QC.	ASSOCIATION.COUNT	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY.ACCESSION	GENOTYPING.TECHNOLOGY	path	fullpath	nsamples_arg	has_required_header	has_pvalue
2013-08-20	23583979	den Hoed M	2013-04-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23583979	Identification of heart rate-associated loci and their effects on cardiac conduction and rhythm disorders.	Heart rate	85,787 European ancestry individuals, 6,568 Indian Asian ancestry indiviudals	88,823 European ancestry individuals	Affymetrix, Illumina [2516789] (imputed)	32	heart rate	http://www.ebi.ac.uk/efo/EFO_0004326	GCST001969	Genome-wide genotyping array	./GCST001001-GCST002000/GCST001969/harmonised/23583979-GCST001969-EFO_0004326.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST001001-GCST002000/GCST001969/harmonised/23583979-GCST001969-EFO_0004326.h.tsv.gz	nfe=85787	TRUE	TRUE
2010-02-28	20081858	Dupuis J	2010-01-17	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20081858	New genetic loci implicated in fasting glucose homeostasis and their impact on type 2 diabetes risk.	Fasting blood insulin	38,238 European ancestry individuals	62,264 European ancestry individuals	Affymetrix, Illumina [~ 2500000] (imputed)	2	fasting blood insulin measurement	http://www.ebi.ac.uk/efo/EFO_0004466	GCST000571	Genome-wide genotyping array	./GCST000001-GCST001000/GCST000571/harmonised/20081858-GCST000571-EFO_0004466.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000571/harmonised/20081858-GCST000571-EFO_0004466.h.tsv.gz	nfe=38238	TRUE	TRUE
2010-02-28	20081858	Dupuis J	2010-01-17	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20081858	New genetic loci implicated in fasting glucose homeostasis and their impact on type 2 diabetes risk.	Fasting blood glucose	46,186 European ancestry individuals	76,558 European ancestry individuals	Affymetrix, Illumina [~ 2500000] (imputed)	16	fasting blood glucose measurement	http://www.ebi.ac.uk/efo/EFO_0004465	GCST000568	Genome-wide genotyping array	./GCST000001-GCST001000/GCST000568/harmonised/20081858-GCST000568-EFO_0004465.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000568/harmonised/20081858-GCST000568-EFO_0004465.h.tsv.gz	nfe=46186	TRUE	TRUE
2018-01-23	20081858	Dupuis J	2010-01-17	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20081858	New genetic loci implicated in fasting glucose homeostasis and their impact on type 2 diabetes risk.	Homeostasis model assessment of insulin resistance	37,037 European ancestry individuals	62,264 European ancestry individuals	Affymetrix, Illumina [~ 2500000] (imputed)	2	HOMA-IR	http://www.ebi.ac.uk/efo/EFO_0004501	GCST005179	Genome-wide genotyping array	./GCST005001-GCST006000/GCST005179/harmonised/20081858-GCST005179-EFO_0004501.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST005001-GCST006000/GCST005179/harmonised/20081858-GCST005179-EFO_0004501.h.tsv.gz	nfe=37037	TRUE	TRUE
2018-01-23	20081858	Dupuis J	2010-01-17	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20081858	New genetic loci implicated in fasting glucose homeostasis and their impact on type 2 diabetes risk.	Homeostasis model assessment of beta-cell function	36,466 European ancestry individuals	62,264 European ancestry individuals	Affymetrix, Illumina [~ 2500000] (imputed)	10	HOMA-B	http://www.ebi.ac.uk/efo/EFO_0004469	GCST005180	Genome-wide genotyping array	./GCST005001-GCST006000/GCST005180/harmonised/20081858-GCST005180-EFO_0004469.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST005001-GCST006000/GCST005180/harmonised/20081858-GCST005180-EFO_0004469.h.tsv.gz	nfe=36466	TRUE	TRUE
2012-10-24	21833088	Sawcer S	2011-08-11	Nature	www.ncbi.nlm.nih.gov/pubmed/21833088	Genetic risk and a primary role for cell-mediated immune mechanisms in multiple sclerosis.	Multiple sclerosis	9,772 European ancestry cases, 16,849 European ancestry controls	4,218 European ancestry cases, 7,296 European ancestry controls	Illumina [465434]	87			GCST001198	Genome-wide genotyping array	./GCST001001-GCST002000/GCST001198/harmonised/21833088-GCST001198-EFO_0003885.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST001001-GCST002000/GCST001198/harmonised/21833088-GCST001198-EFO_0003885.h.tsv.gz	nfe=26621	TRUE	TRUE
2013-04-27	23358156	Benyamin B	2013-01-29	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/23358156	Childhood intelligence is heritable, highly polygenic and associated with FNBP1L.	Intelligence (childhood)	12,441 European ancestry children	5,548 European ancestry children	Affymetrix, Illumina [138093] (imputed)	6	intelligence	http://www.ebi.ac.uk/efo/EFO_0004337	GCST001837	Genome-wide genotyping array	./GCST001001-GCST002000/GCST001837/harmonised/23358156-GCST001837-EFO_0004337.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST001001-GCST002000/GCST001837/harmonised/23358156-GCST001837-EFO_0004337.h.tsv.gz	nfe=12441	TRUE	TRUE
2010-03-29	20190752	Dubois PC	2010-02-28	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20190752	Multiple common variants for celiac disease influencing immune gene expression.	Celiac disease	4,533 European ancestry cases, 10,750 European ancestry controls	4,918 European ancestry cases, 5,684 European ancestry controls	Illumina [292387]	40	celiac disease	http://www.ebi.ac.uk/efo/EFO_0001060	GCST000612	Genome-wide genotyping array	./GCST000001-GCST001000/GCST000612/harmonised/20190752-GCST000612-EFO_0001060.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000612/harmonised/20190752-GCST000612-EFO_0001060.h.tsv.gz	nfe=15283	TRUE	TRUE
2012-01-25	20686565	Teslovich TM	2010-08-05	Nature	www.ncbi.nlm.nih.gov/pubmed/20686565	Biological, clinical and population relevance of 95 loci for blood lipids.	Triglycerides	96,598 European ancestry individuals	NA	Affymetrix, Illumina, Perlegen [~ 2600000] (imputed)	32	triglyceride measurement	http://www.ebi.ac.uk/efo/EFO_0004530	GCST000758	Genome-wide genotyping array	./GCST000001-GCST001000/GCST000758/harmonised/20686565-GCST000758-EFO_0004530.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000758/harmonised/20686565-GCST000758-EFO_0004530.h.tsv.gz	nfe=96598	TRUE	TRUE
2012-01-25	20686565	Teslovich TM	2010-08-05	Nature	www.ncbi.nlm.nih.gov/pubmed/20686565	Biological, clinical and population relevance of 95 loci for blood lipids.	Cholesterol, total	100,184 European ancestry individuals	NA	Affymetrix, Illumina, Perlegen [~ 2600000] (imputed)	52	total cholesterol measurement	http://www.ebi.ac.uk/efo/EFO_0004574	GCST000760	Genome-wide genotyping array	./GCST000001-GCST001000/GCST000760/harmonised/20686565-GCST000760-EFO_0004574.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000760/harmonised/20686565-GCST000760-EFO_0004574.h.tsv.gz	nfe=100184	TRUE	TRUE
