STUDY.ACCESSION	is_meta_analysis
GCST000568	TRUE
GCST005180	TRUE
GCST000612	FALSE
GCST000679	TRUE
GCST000758	TRUE
GCST000760	TRUE
GCST000759	TRUE
GCST000755	TRUE
GCST000922	TRUE
GCST006326	TRUE
GCST000998	TRUE
GCST001198	TRUE
GCST001212	TRUE
GCST005523	FALSE
GCST001475	TRUE
GCST005185	TRUE
GCST005186	TRUE
GCST005581	FALSE
GCST005569	TRUE
GCST001791	TRUE
GCST001790	TRUE
GCST005522	FALSE
GCST001969	TRUE
GCST005528	FALSE
GCST005529	FALSE
GCST002223	TRUE
GCST002222	TRUE
GCST002221	TRUE
GCST002216	TRUE
GCST002245	TRUE
GCST005222	TRUE
GCST005215	TRUE
GCST005216	TRUE
GCST007857	TRUE
GCST007858	TRUE
GCST002783	TRUE
GCST005536	TRUE
GCST007236	TRUE
GCST002920	TRUE
GCST003045	TRUE
GCST003044	TRUE
GCST003043	TRUE
GCST003116	TRUE
GCST003401	TRUE
GCST003375	TRUE
GCST003374	TRUE
GCST003372	TRUE
GCST003368	TRUE
GCST003435	TRUE
GCST006802	FALSE
GCST003395	FALSE
GCST003766	TRUE
GCST003769	TRUE
GCST003770	TRUE
GCST003724	TRUE
GCST003566	FALSE
GCST003659	TRUE
GCST003658	TRUE
GCST004692	TRUE
GCST007557	TRUE
GCST004600	TRUE
GCST004602	TRUE
GCST004603	TRUE
GCST004604	TRUE
GCST004605	TRUE
GCST004606	TRUE
GCST004607	TRUE
GCST004608	TRUE
GCST004609	TRUE
GCST004610	TRUE
GCST004611	TRUE
GCST004613	TRUE
GCST004616	TRUE
GCST004617	TRUE
GCST004618	TRUE
GCST004619	TRUE
GCST004620	TRUE
GCST004621	TRUE
GCST004622	TRUE
GCST004623	TRUE
GCST004624	TRUE
GCST004625	TRUE
GCST004614	TRUE
GCST004612	TRUE
GCST004615	TRUE
GCST004626	TRUE
GCST004627	TRUE
GCST004628	TRUE
GCST004629	TRUE
GCST004630	TRUE
GCST004631	TRUE
GCST004632	TRUE
GCST004633	TRUE
GCST004634	TRUE
GCST004599	TRUE
GCST004137	TRUE
GCST004075	TRUE
GCST004076	TRUE
GCST004074	TRUE
GCST004296	TRUE
GCST004695	TRUE
GCST006487	TRUE
GCST006488	TRUE
GCST004734	TRUE
GCST004733	TRUE
GCST004732	TRUE
GCST004824	TRUE
GCST004826	TRUE
GCST004941	FALSE
GCST004939	FALSE
GCST004904	FALSE
GCST004901	TRUE
GCST004988	TRUE
GCST005038	TRUE
GCST006697	FALSE
GCST006698	FALSE
GCST006699	FALSE
GCST006696	FALSE
GCST006700	FALSE
GCST006701	FALSE
GCST006702	FALSE
GCST005232	FALSE
GCST005212	TRUE
GCST006862	TRUE
GCST005327	FALSE
GCST005348	TRUE
GCST005350	TRUE
GCST005314	TRUE
GCST005367	TRUE
GCST005413	TRUE
GCST005845	FALSE
GCST005850	FALSE
GCST005849	FALSE
GCST005848	FALSE
GCST005846	FALSE
GCST005847	FALSE
GCST006940	TRUE
GCST006941	TRUE
GCST006942	TRUE
GCST006943	TRUE
GCST006944	TRUE
GCST006945	TRUE
GCST006946	TRUE
GCST006947	TRUE
GCST006948	TRUE
GCST006950	TRUE
GCST006951	TRUE
GCST006952	TRUE
GCST006906	TRUE
GCST006907	TRUE
GCST006908	TRUE
GCST005840	TRUE
GCST005842	TRUE
GCST006910	TRUE
GCST005811	FALSE
GCST005810	FALSE
GCST005814	FALSE
GCST005813	FALSE
GCST005812	FALSE
GCST005647	FALSE
GCST007515	TRUE
GCST007517	TRUE
GCST007516	TRUE
GCST007518	TRUE
GCST005904	FALSE
GCST005903	FALSE
GCST005902	FALSE
GCST006366	TRUE
GCST005920	FALSE
GCST005921	FALSE
GCST005923	FALSE
GCST006656	FALSE
GCST006636	FALSE
GCST006637	FALSE
GCST006638	FALSE
GCST006061	TRUE
GCST006085	TRUE
GCST006091	FALSE
GCST006095	FALSE
GCST006096	FALSE
GCST006097	FALSE
GCST006098	FALSE
GCST006100	FALSE
GCST006099	FALSE
GCST006475	TRUE
GCST006478	TRUE
GCST006250	TRUE
GCST006572	TRUE
GCST006867	TRUE
GCST006414	TRUE
GCST006465	TRUE
GCST006464	TRUE
GCST006368	TRUE
GCST006586	FALSE
GCST006956	TRUE
GCST006979	FALSE
GCST007344	TRUE
GCST007090	FALSE
GCST007091	FALSE
GCST007092	FALSE
