DATE.ADDED.TO.CATALOG	PUBMEDID	FIRST.AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE.TRAIT	INITIAL.SAMPLE.SIZE	REPLICATION.SAMPLE.SIZE	PLATFORM..SNPS.PASSING.QC.	ASSOCIATION.COUNT	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY.ACCESSION	GENOTYPING.TECHNOLOGY
2010-02-28	20081858	Dupuis J	2010-01-17	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20081858	New genetic loci implicated in fasting glucose homeostasis and their impact on type 2 diabetes risk.	Fasting blood glucose	46,186 European ancestry individuals	76,558 European ancestry individuals	Affymetrix, Illumina [~ 2500000] (imputed)	16	fasting blood glucose measurement	http://www.ebi.ac.uk/efo/EFO_0004465	GCST000568	Genome-wide genotyping array
2010-06-13	20453842	Stahl EA	2010-05-09	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20453842	Genome-wide association study meta-analysis identifies seven new rheumatoid arthritis risk loci.	Rheumatoid arthritis	5,539 European ancestry cases, 20,169 European ancestry controls	6,768 European ancestry cases, 8,806 European ancestry controls	Affymetrix, Illumina [~ 2716259] (imputed)	29	rheumatoid arthritis	http://www.ebi.ac.uk/efo/EFO_0000685	GCST000679	Genome-wide genotyping array
2012-01-25	20686565	Teslovich TM	2010-08-05	Nature	www.ncbi.nlm.nih.gov/pubmed/20686565	Biological, clinical and population relevance of 95 loci for blood lipids.	HDL cholesterol	99,900 European ancestry individuals	NA	Affymetrix, Illumina, Perlegen [~ 2600000] (imputed)	47	high density lipoprotein cholesterol measurement	http://www.ebi.ac.uk/efo/EFO_0004612	GCST000755	Genome-wide genotyping array
2012-01-25	20686565	Teslovich TM	2010-08-05	Nature	www.ncbi.nlm.nih.gov/pubmed/20686565	Biological, clinical and population relevance of 95 loci for blood lipids.	Triglycerides	96,598 European ancestry individuals	NA	Affymetrix, Illumina, Perlegen [~ 2600000] (imputed)	32	triglyceride measurement	http://www.ebi.ac.uk/efo/EFO_0004530	GCST000758	Genome-wide genotyping array
2012-01-25	20686565	Teslovich TM	2010-08-05	Nature	www.ncbi.nlm.nih.gov/pubmed/20686565	Biological, clinical and population relevance of 95 loci for blood lipids.	LDL cholesterol	95,454 European ancestry individuals	NA	Affymetrix, Illumina, Perlegen [~ 2600000] (imputed)	37	low density lipoprotein cholesterol measurement	http://www.ebi.ac.uk/efo/EFO_0004611	GCST000759	Genome-wide genotyping array
2012-01-25	20686565	Teslovich TM	2010-08-05	Nature	www.ncbi.nlm.nih.gov/pubmed/20686565	Biological, clinical and population relevance of 95 loci for blood lipids.	Cholesterol, total	100,184 European ancestry individuals	NA	Affymetrix, Illumina, Perlegen [~ 2600000] (imputed)	52	total cholesterol measurement	http://www.ebi.ac.uk/efo/EFO_0004574	GCST000760	Genome-wide genotyping array
2011-01-15	21173776	de Moor MH	2010-12-21	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/21173776	Meta-analysis of genome-wide association studies for personality.	Openness	17,375 European ancestry individuals	3,294 European ancestry individuals	Affymetrix, Illumina, Perlegen [~ 2500000] (imputed)	1	openness measurement	http://www.ebi.ac.uk/efo/EFO_0007914	GCST000922	Genome-wide genotyping array
2011-04-11	21378990	Schunkert H	2011-03-06	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/21378990	Large-scale association analysis identifies 13 new susceptibility loci for coronary artery disease.	Coronary heart disease	22,233 European ancestry cases, 64,762 European ancestry controls	56,682 European ancestry cases and controls	Affymetrix, Illumina [~ 2300000] (imputed)	30	coronary artery disease	http://www.ebi.ac.uk/efo/EFO_0001645	GCST000998	Genome-wide genotyping array
2012-10-24	21833088	Sawcer S	2011-08-11	Nature	www.ncbi.nlm.nih.gov/pubmed/21833088	Genetic risk and a primary role for cell-mediated immune mechanisms in multiple sclerosis.	Multiple sclerosis	9,772 European ancestry cases, 16,849 European ancestry controls	4,218 European ancestry cases, 7,296 European ancestry controls	Illumina [465434]	87			GCST001198	Genome-wide genotyping array
2011-09-27	21873549	Strawbridge RJ	2011-08-26	Diabetes	www.ncbi.nlm.nih.gov/pubmed/21873549	Genome-wide association identifies nine common variants associated with fasting proinsulin levels and provides new insights into the pathophysiology of type 2 diabetes.	Proinsulin levels	10,701 European ancestry individuals	16,378 European ancestry individuals	Affymetrix, Illumina [~ 2500000] (imputed)	10	insulin measurement	http://www.ebi.ac.uk/efo/EFO_0004467	GCST001212	Genome-wide genotyping array
